Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,,MULTIPLE_CHOICE,
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,true,MULTIPLE_CHOICE,
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,true,MULTIPLE_CHOICE,
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,
PSL_ACCOUNT_DELETION_URL,,https://macksims-public-site.netlify.app/account-deletion/,MAYBE_REQUIRED,
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,true,SINGLE_CHOICE,
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,,SINGLE_CHOICE,
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO_AUTO_DELETED,,SINGLE_CHOICE,
PSL_DATA_DELETION_URL,,https://macksims-public-site.netlify.app/account-deletion/,MAYBE_REQUIRED,
PSL_DATA_COLLECTION_COMPLIES_FAMILY_POLICY,,,OPTIONAL,
PSL_INDEPENDENTLY_VALIDATED,,,OPTIONAL,
PSL_UPI_BADGE_OPT_IN,,,OPTIONAL,
PSL_HAS_OUTSIDE_APP_ACCOUNTS,,,OPTIONAL,
